question,correct,wrong1,wrong2
Người luyện nhiều môn gọi là?,Tạp tu,Chuyên tu,Thợ rèn
Người học lén võ công gọi là?,Trộm sư,Đệ tử chính thức,Chưởng môn
Người canh cổng môn phái gọi là?,Thủ vệ,Minh chủ,Y sư
Danh hiệu cao thủ ẩn cư gọi là?,Ẩn sĩ,Đệ tử,Thương nhân
Người chữa bệnh giang hồ gọi là?,Lang y,Đao khách,Sát thủ
Võ học luyện khí gọi là?,Nội công,Ngoại công,Độc công
Võ học dùng binh khí gọi là?,Binh khí pháp,Y thuật,Độc thuật
Người giữ bí mật môn phái gọi là?,Hộ pháp,Thợ rèn,Thương lái
Kỹ năng đánh xa gọi là?,Ám khí,Quyền cước,Khinh công
Người dẫn dắt bang phái gọi là?,Bang chủ,Đệ tử,Thủ vệ
Danh hiệu người mạnh nhất môn phái?,Đệ nhất cao thủ,Đệ tử thường,Thợ rèn
Nơi luyện công ngoài trời gọi là?,Luyện võ trường,Chợ,Tửu lâu
Người luyện độc gọi là?,Độc sư,Y sư,Đao khách
Người luyện quyền pháp gọi là?,Quyền sư,Kiếm khách,Đao khách
Võ học dùng ngón tay gọi là?,Chỉ pháp,Chưởng pháp,Thối pháp
Võ công hộ thân cao cấp gọi là?,Kim cương hộ thể,Khinh công,Độc thuật
Người giữ kho bạc gọi là?,Thủ khố,Chưởng môn,Đệ tử
Nơi bí mật của sát thủ gọi là?,Hắc lâu,Tửu lâu,Chợ
Bang phái chuyên buôn vũ khí?,Thiết thương hội,Cái Bang,Đường Môn
Võ công bạo phát trong thời gian ngắn gọi là?,Bạo khí thuật,Tâm pháp,Y thuật
Người luyện song đao gọi là?,Song đao khách,Kiếm khách,Thương khách
Người sử dụng song kiếm gọi là?,Song kiếm sư,Đao khách,Côn sư
Môn phái chuyên dùng kiếm?,Kiếm Tông,Đường Môn,Cái Bang
Danh hiệu cao thủ đứng thứ hai?,Đệ nhị cao thủ,Đệ tử thường,Thợ rèn
Võ công làm tê liệt đối thủ?,Phong huyệt,Chưởng pháp,Đao pháp
Kỹ năng phá phòng thủ?,Phá giáp,Y thuật,Khinh công
Người luyện thiết đầu công gọi là?,Thiết đầu sư,Đao khách,Kiếm khách
Bang phái sống ở sa mạc?,Sa Mạc Bang,Thiên Sơn,Cái Bang
Nơi luyện độc gọi là?,Độc cốc,Tửu lâu,Chợ
Võ học gây xuất huyết?,Huyết sát công,Khinh công,Y thuật
Người giữ mật thất gọi là?,Thủ mật,Chưởng môn,Đệ tử
Môn phái ở núi tuyết?,Thiên Sơn phái,Nga My,Đường Môn
Danh hiệu người giữ trật tự?,Giám võ,Đệ tử,Hộ pháp
Võ học tăng tốc đánh?,Cuồng tốc công,Tâm pháp,Y thuật
Người dùng búa gọi là?,Búa khách,Kiếm khách,Đao khách
Nơi giao dịch bảo vật?,Bảo thị,Tửu lâu,Chợ
Môn phái luyện hỏa công?,Liệt Hỏa Môn,Cái Bang,Đường Môn
Võ công làm choáng đối thủ?,Chấn hồn,Y thuật,Khinh công
Người luyện thương pháp?,Thương sư,Kiếm khách,Đao khách
Bang phái trên biển?,Hải Sa Bang,Cái Bang,Thiên Sơn
Nơi luyện kiếm?,Kiếm cốc,Tửu lâu,Chợ
Võ học phản đòn?,Phản chấn công,Chưởng pháp,Y thuật
Danh hiệu người đứng đầu một đường?,Đường chủ,Đệ tử,Thủ vệ
Người luyện song côn?,Song côn sư,Kiếm khách,Đao khách
Võ công hấp thụ nội lực?,Hấp tinh đại pháp,Y thuật,Khinh công
Môn phái luyện lôi điện?,Lôi Đình Môn,Cái Bang,Nga My
Danh hiệu người canh gác?,Thủ vệ,Đệ tử,Thợ rèn
Võ học tăng né?,Phong thân,Y thuật,Độc thuật
Nơi luyện võ trong rừng?,Thanh Mộc Cốc,Tửu lâu,Chợ
Người luyện thiết sa chưởng?,Thiết sa sư,Kiếm khách,Đao khách
Bang phái luyện sát thủ?,Hắc Sát Bang,Cái Bang,Nga My
Võ học gây bỏng?,Hỏa sát công,Y thuật,Khinh công
Danh hiệu cao thủ đứng thứ ba?,Đệ tam cao thủ,Đệ tử,Thợ rèn
Người luyện trường côn?,Trường côn sư,Kiếm khách,Đao khách
Môn phái luyện băng?,Hàn Băng Môn,Cái Bang,Đường Môn
Võ công gây độc?,Độc chưởng,Y thuật,Khinh công
Nơi cất giữ độc?,Độc khố,Tửu lâu,Chợ
Người luyện ám khí?,Ám khí sư,Kiếm khách,Đao khách
Bang phái ở thảo nguyên?,Thảo Nguyên Bang,Cái Bang,Nga My
Võ công gây mù?,Tán nhãn thuật,Y thuật,Khinh công
Danh hiệu thủ lĩnh bang?,Bang chủ,Đệ tử,Thủ vệ
Người luyện thiết bối công?,Thiết bối sư,Kiếm khách,Đao khách
Môn phái luyện phong?,Cuồng Phong Môn,Cái Bang,Đường Môn
Võ học tăng chí mạng?,Tuyệt sát công,Y thuật,Khinh công
Nơi luyện hỏa?,Liệt Diệm Cốc,Tửu lâu,Chợ
Người luyện song thương?,Song thương sư,Kiếm khách,Đao khách
Bang phái luyện độc?,Vạn Độc Bang,Cái Bang,Nga My
Võ công gây rối loạn?,Loạn khí thuật,Y thuật,Khinh công
Danh hiệu người giữ hình phạt?,Chấp pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết tí công?,Thiết tí sư,Kiếm khách,Đao khách
Môn phái luyện kim?,Kim Cang Môn,Cái Bang,Đường Môn
Võ công phản sát?,Phản sát công,Y thuật,Khinh công
Nơi luyện kim?,Kim Cang Cốc,Tửu lâu,Chợ
Người luyện trường kiếm?,Trường kiếm sư,Đao khách,Côn sư
Bang phái ở núi lửa?,Hỏa Sơn Bang,Cái Bang,Nga My
Võ công hút máu?,Huyết phệ công,Y thuật,Khinh công
Danh hiệu người giữ bí pháp?,Bí pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện song kiếm?,Song kiếm khách,Đao khách,Côn sư
Môn phái luyện huyết?,Huyết Ma Môn,Cái Bang,Đường Môn
Võ học tăng phòng thủ?,Thiết giáp công,Y thuật,Khinh công
Nơi luyện băng?,Hàn Băng Cốc,Tửu lâu,Chợ
Người luyện đoản đao?,Đoản đao khách,Kiếm khách,Côn sư
Bang phái trong rừng?,Thanh Mộc Bang,Cái Bang,Nga My
Võ công phá nội lực?,Phá khí thuật,Y thuật,Khinh công
Danh hiệu người giữ nghi lễ?,Lễ pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện song búa?,Song búa sư,Kiếm khách,Đao khách
Môn phái luyện thổ?,Hoàng Thổ Môn,Cái Bang,Đường Môn
Võ học tăng chính xác?,Chuẩn tâm,Y thuật,Khinh công
Nơi luyện thổ?,Hoàng Thổ Cốc,Tửu lâu,Chợ
Người luyện kiếm pháp cao cấp gọi là?,Kiếm tông sư,Đao khách,Côn sư
Võ công tăng chí mạng mạnh?,Tử sát công,Y thuật,Khinh công
Danh hiệu cao thủ đứng thứ tư?,Đệ tứ cao thủ,Đệ tử,Thợ rèn
Môn phái luyện lôi?,Lôi Minh Môn,Cái Bang,Nga My
Nơi luyện lôi?,Lôi Minh Cốc,Tửu lâu,Chợ
Người luyện trường thương?,Trường thương sư,Kiếm khách,Đao khách
Bang phái ở đầm lầy?,Hắc Trạch Bang,Cái Bang,Nga My
Võ công gây tê liệt?,Tê cốt công,Y thuật,Khinh công
Danh hiệu người giữ mật lệnh?,Mật lệnh trưởng lão,Đệ tử,Thủ vệ
Người luyện song kiếm đoản?,Song đoản kiếm sư,Đao khách,Côn sư
Môn phái luyện mộc?,Thanh Mộc Môn,Cái Bang,Đường Môn
Võ công gây trúng độc nặng?,Độc phệ công,Y thuật,Khinh công
Nơi luyện mộc?,Thanh Mộc Cốc,Tửu lâu,Chợ
Người luyện trường đao?,Trường đao sư,Kiếm khách,Côn sư
Bang phái vùng băng?,Bắc Băng Bang,Cái Bang,Nga My
Võ công phá phòng thủ mạnh?,Phá giáp đại pháp,Y thuật,Khinh công
Danh hiệu người giữ tài vật?,Tài khố trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa cước?,Thiết sa cước sư,Kiếm khách,Đao khách
Môn phái luyện thủy?,Huyền Thủy Môn,Cái Bang,Đường Môn
Võ công làm chậm?,Trì hoãn công,Y thuật,Khinh công
Nơi luyện thủy?,Huyền Thủy Cốc,Tửu lâu,Chợ
Người luyện song trường côn?,Song trường côn sư,Kiếm khách,Đao khách
Bang phái ở thác nước?,Phi Thác Bang,Cái Bang,Nga My
Võ công gây đóng băng?,Hàn phong công,Y thuật,Khinh công
Danh hiệu người giữ hình luật?,Hình luật trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa quyền?,Thiết sa quyền sư,Kiếm khách,Đao khách
Môn phái luyện phong?,Thanh Phong Môn,Cái Bang,Đường Môn
Võ công tăng né mạnh?,Ảnh thân,Y thuật,Khinh công
Nơi luyện phong?,Thanh Phong Cốc,Tửu lâu,Chợ
Người luyện đoản kiếm?,Đoản kiếm sư,Đao khách,Côn sư
Bang phái trên đảo?,Hải Đảo Bang,Cái Bang,Nga My
Võ công gây choáng mạnh?,Chấn hồn đại pháp,Y thuật,Khinh công
Danh hiệu người giữ luật lệnh?,Luật lệnh trưởng lão,Đệ tử,Thủ vệ
Người luyện song đoản đao?,Song đoản đao sư,Kiếm khách,Côn sư
Môn phái luyện quang?,Quang Minh Môn,Cái Bang,Đường Môn
Võ công tăng hồi phục?,Sinh mệnh công,Y thuật,Độc thuật
Nơi luyện quang?,Quang Minh Cốc,Tửu lâu,Chợ
Người luyện thiết sa chưởng?,Thiết sa chưởng sư,Kiếm khách,Đao khách
Bang phái trong động?,Hắc Động Bang,Cái Bang,Nga My
Võ công hút nội lực mạnh?,Hấp tinh đại pháp,Y thuật,Khinh công
Danh hiệu người giữ đại trận?,Trận pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện song đoản thương?,Song đoản thương sư,Kiếm khách,Đao khách
Môn phái luyện ám?,U Minh Môn,Cái Bang,Đường Môn
Võ công gây mù mạnh?,Tuyệt nhãn,Y thuật,Khinh công
Nơi luyện ám?,U Minh Cốc,Tửu lâu,Chợ
Người luyện thiết sa bối?,Thiết sa bối sư,Kiếm khách,Đao khách
Bang phái vùng cát?,Hoang Sa Bang,Cái Bang,Nga My
Võ công tăng sát thương?,Cuồng lực công,Y thuật,Khinh công
Danh hiệu người giữ bảo khố?,Bảo khố trưởng lão,Đệ tử,Thủ vệ
Người luyện song đoản côn?,Song đoản côn sư,Kiếm khách,Đao khách
Môn phái luyện thảo?,Thanh Thảo Môn,Cái Bang,Đường Môn
Võ công hồi nội lực?,Tụ khí công,Y thuật,Khinh công
Nơi luyện thảo?,Thanh Thảo Cốc,Tửu lâu,Chợ
Người luyện trường kiếm?,Trường kiếm tông sư,Đao khách,Côn sư
Bang phái trên cao nguyên?,Cao Nguyên Bang,Cái Bang,Nga My
Võ công phản sát mạnh?,Phản sát đại pháp,Y thuật,Khinh công
Danh hiệu người giữ nghiêm lệnh?,Nghiêm lệnh trưởng lão,Đệ tử,Thủ vệ
Người luyện song trường thương?,Song trường thương sư,Kiếm khách,Đao khách
Môn phái luyện tinh?,Tinh Thần Môn,Cái Bang,Đường Môn
Võ công tăng chí mạng cực mạnh?,Tuyệt sát đại pháp,Y thuật,Khinh công
Nơi luyện tinh?,Tinh Thần Cốc,Tửu lâu,Chợ
Người luyện nội công bậc thầy gọi là?,Nội công tông sư,Đao khách,Côn sư
Võ học tăng kháng độc?,Kháng độc công,Y thuật,Khinh công
Danh hiệu cao thủ đứng thứ năm?,Đệ ngũ cao thủ,Đệ tử,Thợ rèn
Môn phái luyện hồn?,U Hồn Môn,Cái Bang,Nga My
Nơi luyện hồn?,U Hồn Cốc,Tửu lâu,Chợ
Người luyện song trường đao?,Song trường đao sư,Kiếm khách,Côn sư
Bang phái trong hẻm núi?,Hẻm Núi Bang,Cái Bang,Nga My
Võ công gây sợ hãi?,Kinh hồn thuật,Y thuật,Khinh công
Danh hiệu người giữ sinh mệnh?,Sinh mệnh trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa thủ?,Thiết sa thủ sư,Kiếm khách,Đao khách
Môn phái luyện ảnh?,Hắc Ảnh Môn,Cái Bang,Đường Môn
Võ công tăng chính xác mạnh?,Chuẩn tâm đại pháp,Y thuật,Khinh công
Nơi luyện ảnh?,Hắc Ảnh Cốc,Tửu lâu,Chợ
Người luyện song đoản thương?,Song đoản thương tông sư,Kiếm khách,Đao khách
Bang phái trong rừng trúc?,Trúc Lâm Bang,Cái Bang,Nga My
Võ công tăng phản đòn?,Phản chấn đại pháp,Y thuật,Khinh công
Danh hiệu người giữ truyền công?,Truyền công trưởng lão,Đệ tử,Thủ vệ
Người luyện trường búa?,Trường búa sư,Kiếm khách,Đao khách
Môn phái luyện âm?,Huyền Âm Môn,Cái Bang,Đường Môn
Võ công gây mất máu?,Huyết sát đại pháp,Y thuật,Khinh công
Nơi luyện âm?,Huyền Âm Cốc,Tửu lâu,Chợ
Người luyện song trường côn?,Song trường côn tông sư,Kiếm khách,Đao khách
Bang phái vùng sương?,Bạch Sương Bang,Cái Bang,Nga My
Võ công tăng tốc chạy?,Phong hành,Y thuật,Khinh công
Danh hiệu người giữ linh trận?,Linh trận trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa quyền?,Thiết sa quyền tông sư,Kiếm khách,Đao khách
Môn phái luyện tinh khí?,Tinh Khí Môn,Cái Bang,Đường Môn
Võ công hồi sinh lực?,Sinh lực công,Y thuật,Khinh công
Nơi luyện tinh khí?,Tinh Khí Cốc,Tửu lâu,Chợ
Người luyện song đoản côn?,Song đoản côn tông sư,Kiếm khách,Đao khách
Bang phái trong động băng?,Băng Động Bang,Cái Bang,Nga My
Võ công gây băng giá?,Hàn băng đại pháp,Y thuật,Khinh công
Danh hiệu người giữ thiên trận?,Thiên trận trưởng lão,Đệ tử,Thủ vệ
Người luyện trường đao?,Trường đao tông sư,Kiếm khách,Côn sư
Môn phái luyện thổ?,Hoàng Thổ Tông,Cái Bang,Đường Môn
Võ công tăng giáp?,Thiết giáp đại pháp,Y thuật,Khinh công
Nơi luyện thổ?,Hoàng Thổ Điện,Tửu lâu,Chợ
Người luyện song trường thương?,Song trường thương tông sư,Kiếm khách,Đao khách
Bang phái trên vực?,Hắc Vực Bang,Cái Bang,Nga My
Võ công phá kháng?,Phá kháng công,Y thuật,Khinh công
Danh hiệu người giữ chiến trận?,Chiến trận trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa cước?,Thiết sa cước tông sư,Kiếm khách,Đao khách
Môn phái luyện kim thân?,Kim Thân Môn,Cái Bang,Đường Môn
Võ công tăng sinh mệnh?,Sinh mệnh đại pháp,Y thuật,Khinh công
Nơi luyện kim thân?,Kim Thân Điện,Tửu lâu,Chợ
Người luyện song đoản đao?,Song đoản đao tông sư,Kiếm khách,Côn sư
Bang phái trên núi cao?,Thiên Phong Bang,Cái Bang,Nga My
Võ công gây nội thương?,Nội thương đại pháp,Y thuật,Khinh công
Danh hiệu người giữ mật trận?,Mật trận trưởng lão,Đệ tử,Thủ vệ
Người luyện trường kiếm?,Trường kiếm đại tông sư,Đao khách,Côn sư
Môn phái luyện nguyên khí?,Nguyên Khí Môn,Cái Bang,Đường Môn
Võ công hồi nội lực mạnh?,Tụ khí đại pháp,Y thuật,Khinh công
Nơi luyện nguyên khí?,Nguyên Khí Cốc,Tửu lâu,Chợ
Người luyện song trường búa?,Song trường búa tông sư,Kiếm khách,Đao khách
Bang phái trên thung lũng?,Thiên Cốc Bang,Cái Bang,Nga My
Võ công tăng xuyên giáp?,Xuyên giáp công,Y thuật,Khinh công
Danh hiệu người giữ long trận?,Long trận trưởng lão,Đệ tử,Thủ vệ
Người luyện toàn bộ tuyệt học gọi là?,Vạn pháp tông sư,Đao khách,Côn sư
Võ học tối thượng gọi là?,Vô thượng thần công,Y thuật,Khinh công
Danh hiệu cao thủ đứng thứ sáu?,Đệ lục cao thủ,Đệ tử,Thợ rèn
Môn phái luyện thiên?,Thiên Đạo Môn,Cái Bang,Nga My
Nơi luyện thiên?,Thiên Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên kiếm?,Song thiên kiếm tông sư,Đao khách,Côn sư
Bang phái trên mây?,Vân Thiên Bang,Cái Bang,Nga My
Võ công khắc chế nội công?,Phá khí thần công,Y thuật,Khinh công
Danh hiệu người giữ thiên pháp?,Thiên pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa toàn thân?,Thiết sa toàn thân tông sư,Kiếm khách,Đao khách
Môn phái luyện thần?,Thần Đạo Môn,Cái Bang,Đường Môn
Võ công tăng sinh mệnh tối đa?,Sinh mệnh thần công,Y thuật,Khinh công
Nơi luyện thần?,Thần Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên thương?,Song thiên thương tông sư,Kiếm khách,Đao khách
Bang phái trong hư không?,Hư Không Bang,Cái Bang,Nga My
Võ công xuyên thủng phòng ngự?,Xuyên giáp thần công,Y thuật,Khinh công
Danh hiệu người giữ thiên trận?,Thiên trận trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa cửu chuyển?,Thiết sa cửu chuyển tông sư,Kiếm khách,Đao khách
Môn phái luyện huyền?,Huyền Đạo Môn,Cái Bang,Đường Môn
Võ công tăng chí mạng tối đa?,Tuyệt sát thần công,Y thuật,Khinh công
Nơi luyện huyền?,Huyền Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên đao?,Song thiên đao tông sư,Kiếm khách,Côn sư
Bang phái trong sương mù?,Huyền Vụ Bang,Cái Bang,Nga My
Võ công phá thủ cực mạnh?,Phá thủ thần công,Y thuật,Khinh công
Danh hiệu người giữ thánh pháp?,Thánh pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa kim thân?,Thiết sa kim thân tông sư,Kiếm khách,Đao khách
Môn phái luyện linh?,Linh Đạo Môn,Cái Bang,Đường Môn
Võ công hồi sinh lực tối đa?,Sinh lực thần công,Y thuật,Khinh công
Nơi luyện linh?,Linh Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên côn?,Song thiên côn tông sư,Kiếm khách,Đao khách
Bang phái trong vực sâu?,Vực Uyên Bang,Cái Bang,Nga My
Võ công tăng kháng toàn diện?,Vạn kháng thần công,Y thuật,Khinh công
Danh hiệu người giữ thánh trận?,Thánh trận trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa thần thể?,Thiết sa thần thể tông sư,Kiếm khách,Đao khách
Môn phái luyện tiên?,Tiên Đạo Môn,Cái Bang,Đường Môn
Võ công phá kháng tối thượng?,Phá kháng thần công,Y thuật,Khinh công
Nơi luyện tiên?,Tiên Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên búa?,Song thiên búa tông sư,Kiếm khách,Đao khách
Bang phái trên trời?,Thiên Không Bang,Cái Bang,Nga My
Võ công hồi nội lực vô hạn?,Vô hạn nội lực công,Y thuật,Khinh công
Danh hiệu người giữ tiên pháp?,Tiên pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa tiên thể?,Thiết sa tiên thể tông sư,Kiếm khách,Đao khách
Môn phái luyện hư?,Hư Đạo Môn,Cái Bang,Đường Môn
Võ công tăng toàn thuộc tính?,Vạn năng thần công,Y thuật,Khinh công
Nơi luyện hư?,Hư Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên thương?,Song thiên thương đại tông sư,Kiếm khách,Đao khách
Bang phái trên tinh không?,Tinh Không Bang,Cái Bang,Nga My
Võ công chí tôn?,Chí tôn thần công,Y thuật,Khinh công
Danh hiệu người giữ thần pháp?,Thần pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa chí tôn?,Thiết sa chí tôn tông sư,Kiếm khách,Đao khách
Môn phái luyện thánh?,Thánh Đạo Môn,Cái Bang,Đường Môn
Võ công kháng mọi hiệu ứng?,Vạn pháp bất xâm,Y thuật,Khinh công
Nơi luyện thánh?,Thánh Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên kiếm?,Song thiên kiếm đại tông sư,Đao khách,Côn sư
Bang phái trong thánh địa?,Thánh Địa Bang,Cái Bang,Nga My
Võ công tối hậu?,Tối hậu thần công,Y thuật,Khinh công
Danh hiệu người giữ chí tôn pháp?,Chí tôn pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa tối hậu?,Thiết sa tối hậu tông sư,Kiếm khách,Đao khách
Môn phái luyện hỗn?,Hỗn Đạo Môn,Cái Bang,Đường Môn
Võ công dung hợp mọi công pháp?,Hỗn nguyên thần công,Y thuật,Khinh công
Nơi luyện hỗn?,Hỗn Đạo Cốc,Tửu lâu,Chợ
Người luyện song thiên côn?,Song thiên côn đại tông sư,Kiếm khách,Đao khách
Bang phái trong hư vô?,Hư Vô Bang,Cái Bang,Nga My
Võ công chí cao?,Chí cao thần công,Y thuật,Khinh công
Danh hiệu người giữ hỗn pháp?,Hỗn pháp trưởng lão,Đệ tử,Thủ vệ
Người luyện thiết sa chí cao?,Thiết sa chí cao tông sư,Kiếm khách,Đao khách
